i,start_time,deployment_start,deployment_end,pod_start,pod_end,end_time,total_time,deployment_time,pod_ready_time
45,1736063126827569000,1736063126841172000,1736063127586254000,1736063127590278000,1736063134938630000,1736063134942121000,8114,745,7348
48,1736063126840630000,1736063126851215000,1736063127594570000,1736063127597937000,1736063134938630000,1736063134942096000,8101,743,7340
51,1736063136858443000,1736063136878530000,1736063137483003000,1736063137488547000,1736063138894775000,1736063138900624000,2042,604,1406
54,1736063136874968000,1736063136881133000,1736063137442343000,1736063137446937000,1736063138894704000,1736063138900411000,2025,561,1447
53,1736063136859619000,1736063136878061000,1736063137434326000,1736063137441107000,1736063139928178000,1736063139931338000,3071,556,2487
56,1736063136877941000,1736063136883910000,1736063137466544000,1736063137472834000,1736063140953677000,1736063140958684000,4080,582,3480
57,1736063136874900000,1736063136881133000,1736063137428482000,1736063137435765000,1736063141941987000,1736063141945455000,5070,547,4506
59,1736063136876718000,1736063136886957000,1736063137581093000,1736063137584712000,1736063142039141000,1736063142042946000,5166,694,4454
50,1736063136858432000,1736063136877934000,1736063137523212000,1736063137528738000,1736063142960875000,1736063142963899000,6105,645,5432
52,1736063136859444000,1736063136878065000,1736063137556312000,1736063137560283000,1736063144031158000,1736063144034277000,7174,678,6470
55,1736063136878492000,1736063136885902000,1736063137629600000,1736063137634033000,1736063144952011000,1736063144956585000,8078,743,7317
58,1736063136878530000,1736063136887364000,1736063137577295000,1736063137581092000,1736063144952011000,1736063144956585000,8078,689,7370
66,1736063146903887000,1736063146914910000,1736063147608885000,1736063147614101000,1736063149004849000,1736063149007919000,2104,693,1390
61,1736063146893831000,1736063146908000000,1736063147504738000,1736063147510483000,1736063149043061000,1736063149046285000,2152,596,1532
65,1736063146903900000,1736063146913203000,1736063147637225000,1736063147643898000,1736063150003748000,1736063150006975000,3103,724,2359
62,1736063146895281000,1736063146908180000,1736063147506322000,1736063147511410000,1736063151047589000,1736063151051801000,4156,598,3536
63,1736063146902851000,1736063146912119000,1736063147581539000,1736063147585024000,1736063151987900000,1736063151991137000,5088,669,4402
60,1736063146894187000,1736063146908444000,1736063147507015000,1736063147512069000,1736063152036061000,1736063152039217000,5145,598,4523
64,1736063146901202000,1736063146913271000,1736063147710233000,1736063147715610000,1736063152990962000,1736063152994400000,6093,796,5275
67,1736063146905737000,1736063146916734000,1736063147578520000,1736063147582820000,1736063154030914000,1736063154034738000,7129,661,6448
69,1736063146906217000,1736063146917620000,1736063147609005000,1736063147614101000,1736063155055044000,1736063155058962000,8152,691,7440
68,1736063146905527000,1736063146917128000,1736063147714221000,1736063147723549000,1736063155055331000,1736063155058960000,8153,797,7331
73,1736063156925560000,1736063156937384000,1736063157547806000,1736063157553003000,1736063159125422000,1736063159128842000,2203,610,1572
77,1736063156929195000,1736063156940195000,1736063157569285000,1736063157574812000,1736063159149761000,1736063159155681000,2226,629,1574
79,1736063156928683000,1736063156940868000,1736063157539485000,1736063157546734000,1736063160122090000,1736063160124995000,3196,598,2575
75,1736063156927917000,1736063156938933000,1736063157546674000,1736063157551763000,1736063161137422000,1736063161140937000,4213,607,3585
71,1736063156925357000,1736063156940590000,1736063157638145000,1736063157642556000,1736063162083864000,1736063162089522000,5164,697,4441
78,1736063156929571000,1736063156941164000,1736063157646050000,1736063157650963000,1736063162147533000,1736063162151826000,5222,704,4496
70,1736063156924662000,1736063156937564000,1736063157660092000,1736063157664324000,1736063163088880000,1736063163092329000,6167,722,5424
74,1736063156925613000,1736063156939992000,1736063157660092000,1736063157664324000,1736063164163824000,1736063164167994000,7242,720,6499
72,1736063156926942000,1736063156939456000,1736063157698946000,1736063157704842000,1736063165083069000,1736063165087717000,8160,759,7378
76,1736063156928359000,1736063156939902000,1736063157743121000,1736063157747275000,1736063165224492000,1736063165227405000,8299,803,7477
82,1736063166947621000,1736063166954802000,1736063167594243000,1736063167599548000,1736063169137263000,1736063169140945000,2193,639,1537
80,1736063166948789000,1736063166954847000,1736063167636366000,1736063167642769000,1736063169182929000,1736063169188233000,2239,681,1540
84,1736063166951953000,1736063166961403000,1736063167525439000,1736063167530246000,1736063170249479000,1736063170252799000,3300,564,2719
81,1736063166949074000,1736063166955720000,1736063167651269000,1736063167656032000,1736063171221588000,1736063171224397000,4275,695,3565
89,1736063166953188000,1736063166965771000,1736063167602480000,1736063167607635000,1736063172258609000,1736063172263056000,5309,636,4650
85,1736063166951296000,1736063166964688000,1736063167773910000,1736063167778107000,1736063172258609000,1736063172263056000,5311,809,4480
88,1736063166952547000,1736063166965259000,1736063167686145000,1736063167693225000,1736063173181960000,1736063173185579000,6233,720,5488
86,1736063166952108000,1736063166966039000,1736063167858916000,1736063167862326000,1736063174262750000,1736063174266133000,7314,892,6400
87,1736063166953333000,1736063166965822000,1736063167810706000,1736063167814469000,1736063175197041000,1736063175200025000,8246,844,7382
83,1736063166950396000,1736063166964676000,1736063167751375000,1736063167756335000,1736063175196832000,1736063175199955000,8249,786,7440
91,1736063176964523000,1736063176976544000,1736063177591334000,1736063177596183000,1736063178256344000,1736063178260597000,1296,614,660
92,1736063176965717000,1736063176977973000,1736063177603571000,1736063177609153000,1736063179271202000,1736063179274510000,2308,625,1662
94,1736063176967435000,1736063176977939000,1736063177630377000,1736063177636230000,1736063180287322000,1736063180290467000,3323,652,2651
97,1736063176971207000,1736063176980065000,1736063177683436000,1736063177689496000,1736063181217630000,1736063181221049000,4249,703,3528
98,1736063176974064000,1736063176982172000,1736063177662123000,1736063177668569000,1736063181323413000,1736063181326310000,4352,679,3654
95,1736063176967956000,1736063176978000000,1736063177705363000,1736063177720838000,1736063182279417000,1736063182283147000,5315,727,4558
96,1736063176968835000,1736063176978920000,1736063177673846000,1736063177678189000,1736063183338261000,1736063183341361000,6372,694,5660
99,1736063176973937000,1736063176980767000,1736063177773687000,1736063177778939000,1736063184289137000,1736063184293035000,7319,792,6510
93,1736063176966004000,1736063176978915000,1736063177664553000,1736063177672186000,1736063184307706000,1736063184311268000,7345,685,6635
90,1736063176962972000,1736063176976685000,1736063177723264000,1736063177728946000,1736063185323287000,1736063185326301000,8363,746,7594
103,1736063186999192000,1736063187014548000,1736063187708326000,1736063187713821000,1736063188356969000,1736063188360155000,1360,693,643
102,1736063186993518000,1736063187014317000,1736063187680911000,1736063187685900000,1736063189338953000,1736063189342490000,2348,666,1653
108,1736063187014603000,1736063187029344000,1736063187613953000,1736063187618904000,1736063190314368000,1736063190317459000,3302,584,2695
100,1736063186993545000,1736063187013934000,1736063187637154000,1736063187642389000,1736063191311727000,1736063191314937000,4321,623,3669
104,1736063187012505000,1736063187024930000,1736063187702765000,1736063187708328000,1736063191367055000,1736063191370407000,4357,677,3658
101,1736063186994157000,1736063187013703000,1736063187702263000,1736063187708327000,1736063192351347000,1736063192354253000,5360,688,4643
105,1736063187010203000,1736063187020863000,1736063187801704000,1736063187805646000,1736063193304459000,1736063193308239000,6298,780,5498
109,1736063187014126000,1736063187028679000,1736063187760529000,1736063187764410000,1736063194280988000,1736063194285309000,7271,731,6516
106,1736063187011493000,1736063187026505000,1736063187763998000,1736063187768698000,1736063194280988000,1736063194285308000,7273,737,6512
107,1736063187013125000,1736063187025336000,1736063187832039000,1736063187835858000,1736063195263820000,1736063195267183000,8254,806,7427
112,1736063197030220000,1736063197050786000,1736063200609710000,1736063200615411000,1736063201382852000,1736063201386076000,4355,3558,767
110,1736063197031863000,1736063197048267000,1736063200641890000,1736063200646835000,1736063202442828000,1736063202446271000,5414,3593,1795
113,1736063197041352000,1736063197052300000,1736063200660075000,1736063200664970000,1736063203360410000,1736063203363438000,6322,3607,2695
